'show_id','type','title','director','cast','country','date_added','release_year','rating','duration','listed_in','description'
('s7221','Movie','Tribhanga - Tedhi Medhi Crazy','Renuka Shahane',"'Kajol, Tanvi Azmi, Mithila Palkar, Kunaal Roy Kapur, Vaibhav Tatwawaadi, Kanwaljeet Singh, Manav Gohil, Shweta Mehendale'",,44211,2021,'TV-MA','96 min',"'Dramas, International Movies'","'When her estranged mother falls into a coma, a self-made single mom grapples with regret and resentment while reflecting on their strained relationship.')"
('s7552','Movie','What Happened to Mr. Cha?','Kim Dong-kyu',"'Cha In-pyo, Cho Dal-hwan, Song Jae-ryong'",'South Korea',44197,2021,'TV-MA','102 min',"'Comedies, International Movies'","'With the peak of his career long behind him, an actor clings to his past glory — until a sudden wake-up call forces him to face who he's become.')"
('s7570','Movie','What Would Sophia Loren Do?','Ross Kauffman',"'Nancy ""Vincenza Careri"" Kulik, Sophia Loren'",'United States',44211,2021,'TV-14','32 min','Documentaries',"'In this delightful short documentary, an Italian American grandmother and film buff finds strength and joy in the life of her screen idol, Sophia Loren.')"
('s7645','Movie','Wish You','Sung Do-jun',"'Kang In-soo, Lee Sang, Soo-bin'",,44211,2021,'TV-PG','102 min',"'Dramas, International Movies, LGBTQ Movies'","'Singing and dreaming together, a talented singer-songwriter and a same-aged keyboardist add harmony and love to each other’s lives.')"
('s1','TV Show',0.03,,"'João Miguel, Bianca Comparato, Michel Gomes, Rodolfo Valente, Vaneza Oliveira, Rafael Lozano, Viviane Porto, Mel Fronckowiak, Sergio Mamberti, Zezé Motta, Celso Frateschi'",'Brazil',44057,2020,'TV-MA','4 Seasons',"'International TV Shows, TV Dramas, TV Sci-Fi & Fantasy'","'In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor.')"
('s25','TV Show','​SAINT SEIYA: Knights of the Zodiac',,"'Bryson Baugus, Emily Neves, Blake Shepard, Patrick Poole, Luci Christian, Adam Gibbs, Masakazu Morita, Fumiko Orikasa, Takahiro Sakurai, Hiroaki Miura, Satomi Sato, Katsuyuki Konishi'",'Japan',43853,2020,'TV-14','2 Seasons',"'Anime Series, International TV Shows'","'Seiya and the Knights of the Zodiac rise again to protect the reincarnation of the goddess Athena, but a dark prophecy hangs over them all.')"
('s27','TV Show','(Un)Well',,,'United States',44055,2020,'TV-MA','1 Season','Reality TV',"'This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises?')"
('s28','Movie','#Alive','Cho Il',"'Yoo Ah-in, Park Shin-hye'",'South Korea',44082,2020,'TV-MA','99 min',"'Horror Movies, International Movies, Thrillers'","'As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.')"
('s30','TV Show','#blackAF',,"'Kenya Barris, Rashida Jones, Iman Benson, Genneya Walton, Scarlet Spencer, Justin Claiborne, Ravi Cabot-Conyers'",'United States',43938,2020,'TV-MA','1 Season','TV Comedies',"'Kenya Barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series.')"
('s31','Movie','#cats_the_mewvie','Michael Margolis',,'Canada',43866,2020,'TV-14','90 min',"'Documentaries, International Movies'","'This pawesome documentary explores how our feline friends became online icons, from the earliest text memes to the rise of celebrity cat influencers.')"
('s33','Movie','#FriendButMarried 2','Rako Prijanto',"'Adipati Dolken, Mawar de Jongh, Sari Nila, Vonny Cornellya, Clay Gribble, Ivan Leonardy, Sarah Sechan, Jourdy Pranata'",'Indonesia',44010,2020,'TV-G','104 min',"'Dramas, International Movies, Romantic Movies'","'As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage.')"
('s44','Movie','Òlòtūré','Kenneth Gyang',"'Beverly Osu, Sharon Ooja, Omowunmi Dada, Pearl Okorie, Wofai Samuel, Ikechukwu Onunaku, Kemi Lala Akindoju, Blossom Chukwujekwu, Adebukola Oladipupo, Omoni Oboli, Segun Arinze, Ada Ameh, Sambasa Nzeribe, Patrick Doyle, Gregory Ojefua'",'Nigeria',44106,2020,'TV-MA','107 min',"'Dramas, International Movies'","'In Lagos, a journalist goes undercover as a prostitute to expose human trafficking. What she finds is a world of exploited women and ruthless violence.')"
('s54','TV Show','100 Humans',,"'Zainab Johnson, Sammy Obeid, Alie Ward'",'United States',43903,2020,'TV-14','1 Season',"'Docuseries, Science & Nature TV'","'One hundred hardy souls from diverse backgrounds participate in playful experiments exploring age, sex, happiness and other aspects of being human.')"
('s58','Movie','100% Halal','Jastis Arimba',"'Anisa Rahma, Ariyo Wahab, Anandito Dwis, Fitria Rasyidi, Arafah Rianti, Kinaryosih'",'Indonesia',44203,2020,'TV-14','101 min',"'Dramas, International Movies'","'After high school, a young woman marries the man of her father's choice but soon faces the possibility that her religion considers the union invalid.')"
('s64','TV Show','13 Reasons Why',,"'Dylan Minnette, Katherine Langford, Kate Walsh, Derek Luke, Brian d'Arcy James, Alisha Boe, Christian Navarro, Miles Heizer, Ross Butler, Devin Druid, Michele Selene Ang, Steven Silver, Amy Hargreaves'",'United States',43987,2020,'TV-MA','4 Seasons',"'Crime TV Shows, TV Dramas, TV Mysteries'","'After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice.')"
